DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
"christi","NA","depts","TABLE","NA"
"christi","NA","employee","TABLE","NA"
"christi","NA","mailid","TABLE","NA"
"christi","NA","mv1","TABLE","NA"
"default","NA","t1","TABLE","NA"
"default","NA","t2","TABLE","NA"
"default","NA","t3","TABLE","NA"
"default","NA","t4","TABLE","NA"
"default","NA","t5","TABLE","NA"
"td_to_hive","NA","emp","TABLE","NA"
"td_to_hive","NA","emp_30000","TABLE","NA"
"td_to_hive","NA","employee","TABLE","NA"
"td_to_hive","NA","emp_30000","VIEW","NA"
"userdb","NA","inventory","TABLE","NA"
"userdb","NA","top_custno","TABLE","NA"
"userdb","NA","txnrecords","TABLE","NA"
"userdb","NA","txnrecordsbycat","TABLE","NA"
"userdb","NA","inventory","VIEW","NA"
"userdb","NA","top_custno","VIEW","NA"
