DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
"XE","CHRISTI1","EMP","TABLE","NA"
"XE","CHRISTI1","DEPT","TABLE","NA"
"XE","CHRISTI1","DEMO_USERS","TABLE","NA"
"XE","CHRISTI1","DEMO_STATES","TABLE","NA"
"XE","CHRISTI1","DEMO_PRODUCT_INFO","TABLE","NA"
"XE","CHRISTI1","DEMO_ORDER_ITEMS","TABLE","NA"
"XE","CHRISTI1","DEMO_ORDERS","TABLE","NA"
"XE","CHRISTI1","DEMO_CUSTOMERS","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_WEBPG_SECTION_HISTORY","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_WEBPG_SECTIONS","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_TAGS","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_ROWS","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_NOTES","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_LINKS","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_HISTORY","TABLE","NA"
"XE","CHRISTI1","APEX$_WS_FILES","TABLE","NA"
"XE","CHRISTI1","APEX$_ACL","TABLE","NA"
"XE","CHRISTI1","CUSTOM_HASH","FUNCTION","SIMPLE"
"XE","CHRISTI1","CUSTOM_AUTH","FUNCTION","SIMPLE"
"XE","HR","REGIONS","TABLE","NA"
"XE","HR","LOCATIONS","TABLE","NA"
"XE","HR","JOB_HISTORY","TABLE","NA"
"XE","HR","JOBS","TABLE","NA"
"XE","HR","EMPLOYEES","TABLE","NA"
"XE","HR","DEPARTMENTS","TABLE","NA"
"XE","HR","COUNTRIES","TABLE","NA"
"XE","HR","EMP_DETAILS_VIEW","VIEW","SIMPLE"
"XE","HR","SECURE_DML","PROCEDURE","SIMPLE"
"XE","HR","ADD_JOB_HISTORY","PROCEDURE","SIMPLE"
"XE","BPORTAL","XMLREPORT_MERCHANTS","TABLE","NA"
"XE","BPORTAL","XMLREPORT_MERCHANTGROUPS","TABLE","NA"
"XE","BPORTAL","XMLREPORT_FIELDS_MAPPING","TABLE","NA"
"XE","BPORTAL","XMLREPORT_CARDTYPES_MAPPING","TABLE","NA"
"XE","BPORTAL","VIRTUAL_MERCHANT_DETAILS","TABLE","NA"
"XE","BPORTAL","VIRTUAL_MERCHANT","TABLE","NA"
"XE","BPORTAL","USER_SWEDISH_MGR","TABLE","NA"
"XE","BPORTAL","USER_PWD_RST_TKNS","TABLE","NA"
"XE","BPORTAL","USER_PARTNER_MGR","TABLE","NA"
"XE","BPORTAL","USER_NEWSLETTER_APSIS","TABLE","NA"
"XE","BPORTAL","USER_MERCHANT_12SEP2011","TABLE","NA"
"XE","BPORTAL","USER_MERCHANT","TABLE","NA"
"XE","BPORTAL","USER_CNTRY_PHN_CODES","TABLE","NA"
"XE","BPORTAL","USER_AFFILIATION_MAPPING","TABLE","NA"
"XE","BPORTAL","USER_ACCNT_ACTIVATION","TABLE","NA"
"XE","BPORTAL","USERSCREENSETTING_12SEP2011","TABLE","NA"
"XE","BPORTAL","USERSCREENSETTING","TABLE","NA"
"XE","BPORTAL","USEDPASSWORDS_TEMP_FINAL","TABLE","NA"
"XE","BPORTAL","USEDPASSWORDS_TEMP","TABLE","NA"
"XE","BPORTAL","USEDPASSWORDS","TABLE","NA"
"XE","BPORTAL","USAGE_STATISTICS_12SEP2011","TABLE","NA"
"XE","BPORTAL","USAGE_STATISTICS","TABLE","NA"
"XE","BPORTAL","TRIAL","TABLE","NA"
"XE","BPORTAL","TRANSACTION_TEMP","TABLE","NA"
"XE","BPORTAL","TRANSACTION_FINAL","TABLE","NA"
"XE","BPORTAL","TRANSACTION_ARCHIVE123","TABLE","NA"
"XE","BPORTAL","TRANSACTION_ARCHIVE1","TABLE","NA"
"XE","BPORTAL","TRANSACTION_ARCHIVE","TABLE","NA"
"XE","BPORTAL","TRANSACTION","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT38749","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT38748","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT1049","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT1047","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT1046","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT1044","TABLE","NA"
"XE","BPORTAL","TMPMERCHANT1042","TABLE","NA"
"XE","BPORTAL","TERMS_AND_CONDITION","TABLE","NA"
"XE","BPORTAL","TERMINAL_TERMINATION_DETAILS","TABLE","NA"
"XE","BPORTAL","TERMINAL_INFO_MERCHANT","TABLE","NA"
"XE","BPORTAL","TERMINAL_INFO","TABLE","NA"
"XE","BPORTAL","TERMINAL_ADDITIONAL_INFO","TABLE","NA"
"XE","BPORTAL","TEMP_TEST","TABLE","NA"
"XE","BPORTAL","TEMPLATE_MERCHANT","TABLE","NA"
"XE","BPORTAL","TEMPLATE_CARDTYPE","TABLE","NA"
"XE","BPORTAL","TB_MERCHANT_DELETE","TABLE","NA"
"XE","BPORTAL","TAB1","TABLE","NA"
"XE","BPORTAL","SOFIEFILEINFO","TABLE","NA"
"XE","BPORTAL","SMSSCHEDULES_EXTERNALADMIN","TABLE","NA"
"XE","BPORTAL","SETTING","TABLE","NA"
