DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
"CHRISTI","dbo","Customers","TABLE","NA"
"CHRISTI","dbo","fun_JoinEmpColumnInfo","FUNCTION","NA"
"CHRISTI","dbo","fun_PrintNumber","FUNCTION","NA"
"CHRISTI","dbo","GetProductDesc","PROCEDURE","SIMPLE"
"CHRISTI","Dev_Proced_Exs","FindSite","PROCEDURE","SIMPLE"
"CHRISTI","new_environment","Product","TABLE","NA"
"CHRISTI","new_environment","ProductDescription","TABLE","NA"
"CHRISTI","new_environment","GetProductDesc_withparameters","PROCEDURE","SIMPLE"
"CHRISTI","Test_schema","Employee","TABLE","NA"
"CHRISTI","Test_schema","Fun_Addition","FUNCTION","NA"
"CHRISTI","TRIAL_SCHEMA","Customers","TABLE","NA"
"CHRISTI","TRIAL_SCHEMA","T1","TABLE","NA"
"CHRISTI","TRIAL_SCHEMA","t5","TABLE","NA"
"CHRISTI","TRIAL_SCHEMA","Customers99","TABLE","NA"
"CHRISTI","TRIAL_SCHEMA","Customers_view","VIEW","NA"
"CHRISTI","TRIAL_SCHEMA","udfNetSale","FUNCTION","NA"
"TRIAL1","History","Department","TABLE","NA"
"TRIAL1","TRIAL_SCHEMA","Customers","TABLE","NA"
"TRIAL1","TRIAL_SCHEMA","t5","TABLE","NA"
"TRIAL1","TRIAL_SCHEMA","T1","TABLE","NA"
