DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
CHRISTI1,NA,customer,TABLE,NA
CHRISTI1,NA,orders,TABLE,NA
CHRISTI1,NA,ord_cust_idx,JOIN INDEX,NA
CHRISTI1,NA,ord_cust_new_idx,JOIN INDEX,NA
finance,NA,Salary,TABLE,NA
finance,NA,PLANNG_DISPTN_GRP_XREF,TABLE,NA
finance,NA,PART,TABLE,NA
finance,NA,CATG,TABLE,NA
finance,NA,EMPLOYEE,TABLE,NA
finance,NA,CATG_V,VIEW,NA
finance,NA,PLANNG_DISPTN_GRP_XREF_V,VIEW,NA
finance,NA,PART_V,VIEW,NA
finance,NA,emp_sal_idx,JOIN INDEX,NA
finance,NA,InsertEmployee,PROCEDURE,SIMPLE
finance,NA,InsertSalary,PROCEDURE,SIMPLE
test_db,NA,geospatial_type_UDF_NEW,FUNCTION,NA
test_db,NA,geospatial_type_UDF,FUNCTION,NA
test_db,NA,zipcode,FUNCTION,NA
test_db,NA,myudf2,FUNCTION,NA
test_db,NA,myudf,FUNCTION,NA
test_db,NA,case_expr,FUNCTION,NA
test_db,NA,calc,FUNCTION,NA
test_db,NA,new_sales_table,PROCEDURE,SIMPLE
HVTD_ETL_TARGET,NA,TD_HV_TAXI_S,TABLE,NA
HVTD_ETL_TARGET,NA,TD_HV_TAXI_F,TABLE,NA
HVTD_ETL_TARGET,NA,TD_HV_TAXI_FS,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_PYMT_TYP_D,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_PRVNC_D,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_RATE_D,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_PYMT_TYP_S,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_RIDE_TREND_F,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_PRVNC_S,TABLE,NA
TDSF_ETL_TARGET,NA,TD_HV_RATE_S,TABLE,NA
