DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
"STARS4_SL_WORK","NA","CPTY_STORE_COUNTERPARTY_DAT","TABLE","NA"
"STARS4_SL_WORK","NA","DATA_FALM_CASHFLOW_SSL","TABLE","NA"
"STARS4_SL_WORK","NA","DATA_FALM_CONT_FOC_INTERMED","TABLE","NA"
"STARS4_SL_WORK","NA","DIM_COUNTERPARTY_LST","TABLE","NA"
"STARS4_SL_WORK","NA","EXT_GSI_INSTRUMENT_BASELINE","TABLE","NA"
"STARS4_SL_WORK","NA","EXT_LRDB_CONTRACTS","TABLE","NA"
"STARS4_SL_WORK","NA","MAH_COUNTERPARTY_DAT","TABLE","NA"
"STARS4_SL_WORK","NA","META_CONTRACT_DAILY_RUN","TABLE","NA"
"STARS4_SL_WORK","NA","TEMP_CF","TABLE","NA"
"STARS4_SL_WORK","NA","TEMP_CONTRACTS","TABLE","NA"
"STARS4_SL_WORK","NA","TEMP_CONTRACTS_CF","TABLE","NA"
"STARS4_SL_WORK","NA","TEST_GC_FILE_FULL","TABLE","NA"
"STARS4_SL_WORK","NA","TMP_C66_CONTINGENCIES","TABLE","NA"
"STARS4_SL_WORK","NA","TMP_C66_COUNTERBAL","TABLE","NA"
"STARS4_SL_WORK","NA","TMP_C66_INFLOWS","TABLE","NA"
"STARS4_SL_WORK","NA","TMP_C66_OUTFLOWS","TABLE","NA"
"STARS4_SL_WORK","NA","T_MARKET_PRICE","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_CASHFLOW_IN","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_CONTRACT_FUNGIBLEPOS","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_CONTRACT_FUNGIBLETRADE","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_CONTRACT_LIQ_HISTORY","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_CONTRACT_NONFUNGIBLE","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_EKO","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_GSI_INSTRUMENT","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_REPO_COLLATERAL_MATCH","TABLE","NA"
"STARS4_SL_WORK","NA","T_WRK_REPO_COLLATERAL_POOL_REQ","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_4026_OCMV_ISSUED","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGGR_NON_LCH_DERIV","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGGR_NON_LCH_DERIV_AUX","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGG_CONTRACT_DAILY_01","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGG_CONTRACT_DAILY_02","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGG_CONTRACT_DAILY_03","TABLE","NA"
"STARS4_SL_WORK","NA","WRK_AGG_CONTRACT_DAILY_1","TABLE","NA"
