DATABASE_NAME,SCHEMA_NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
CWDB01,MENTOR,BINARY_TEST,TABLE,NA
CWDB01,MENTOR,CANDIDATES,TABLE,NA
CWDB01,MENTOR,CONTACTS,TABLE,NA
CWDB01,MENTOR,COUNTRIES,TABLE,NA
CWDB01,MENTOR,CUSTOMERS,TABLE,NA
CWDB01,MENTOR,EMPLOYEES,TABLE,NA
CWDB01,MENTOR,EMPLOYEES2,TABLE,NA
CWDB01,MENTOR,EMPLOYEES3,TABLE,NA
CWDB01,MENTOR,EMPLOYEES5,TABLE,NA
CWDB01,MENTOR,EMPLOYEES6,TABLE,NA
CWDB01,MENTOR,EMPLOYEES7,TABLE,NA
CWDB01,MENTOR,FLIGHTS,TABLE,NA
CWDB01,MENTOR,FLIGHTS1,TABLE,NA
CWDB01,MENTOR,FLIGHTS2,TABLE,NA
CWDB01,MENTOR,FLTAVAIL,TABLE,NA
CWDB01,MENTOR,GOODS_IN_WAGON,TABLE,NA
CWDB01,MENTOR,INVENTORIES,TABLE,NA
CWDB01,MENTOR,LOCATIONS,TABLE,NA
CWDB01,MENTOR,NUMTABLE,TABLE,NA
CWDB01,MENTOR,ORDERS,TABLE,NA
CWDB01,MENTOR,ORDER_ITEMS,TABLE,NA
CWDB01,MENTOR,OUT_TRAY,TABLE,NA
CWDB01,MENTOR,PRODUCTS,TABLE,NA
CWDB01,MENTOR,PRODUCT_CATEGORIES,TABLE,NA
CWDB01,MENTOR,REGIONS,TABLE,NA
CWDB01,MENTOR,SCHED,TABLE,NA
CWDB01,MENTOR,SUPPLIERS,TABLE,NA
CWDB01,MENTOR,TESTING,TABLE,NA
CWDB01,MENTOR,TESTING1,TABLE,NA
CWDB01,MENTOR,TESTINGLONG,TABLE,NA
CWDB01,MENTOR,TEST_FIXED1,TABLE,NA
CWDB01,MENTOR,TIME_TABLE,TABLE,NA
CWDB01,MENTOR,WAREHOUSES,TABLE,NA
CWDB01,BPORTAL,XMLREPORT_MERCHANTS,TABLE,NA
CWDB01,BPORTAL,XMLREPORT_MERCHANTGROUPS,TABLE,NA
CWDB01,BPORTAL,XMLREPORT_FIELDS_MAPPING,TABLE,NA
CWDB01,BPORTAL,XMLREPORT_CARDTYPES_MAPPING,TABLE,NA
CWDB01,BPORTAL,VIRTUAL_MERCHANT_DETAILS,TABLE,NA
CWDB01,BPORTAL,VIRTUAL_MERCHANT,TABLE,NA
CWDB01,BPORTAL,USER_SWEDISH_MGR,TABLE,NA
CWDB01,BPORTAL,USER_PWD_RST_TKNS,TABLE,NA
CWDB01,BPORTAL,USER_PARTNER_MGR,TABLE,NA
CWDB01,BPORTAL,USER_NEWSLETTER_APSIS,TABLE,NA
CWDB01,BPORTAL,USER_MERCHANT_12SEP2011,TABLE,NA
CWDB01,BPORTAL,USER_MERCHANT,TABLE,NA
CWDB01,BPORTAL,USER_CNTRY_PHN_CODES,TABLE,NA
CWDB01,BPORTAL,USER_AFFILIATION_MAPPING,TABLE,NA
CWDB01,BPORTAL,USER_ACCNT_ACTIVATION,TABLE,NA
CWDB01,BPORTAL,USERSCREENSETTING_12SEP2011,TABLE,NA
CWDB01,BPORTAL,USERSCREENSETTING,TABLE,NA
CWDB01,BPORTAL,USEDPASSWORDS_TEMP_FINAL,TABLE,NA
CWDB01,BPORTAL,USEDPASSWORDS_TEMP,TABLE,NA
CWDB01,BPORTAL,USEDPASSWORDS,TABLE,NA
CWDB01,BPORTAL,USAGE_STATISTICS_12SEP2011,TABLE,NA
CWDB01,BPORTAL,USAGE_STATISTICS,TABLE,NA
CWDB01,BPORTAL,TRIAL,TABLE,NA
CWDB01,BPORTAL,TRANSACTION_TEMP,TABLE,NA
CWDB01,BPORTAL,TRANSACTION_FINAL,TABLE,NA
CWDB01,BPORTAL,TRANSACTION_ARCHIVE123,TABLE,NA
CWDB01,BPORTAL,TRANSACTION_ARCHIVE1,TABLE,NA
CWDB01,BPORTAL,TRANSACTION_ARCHIVE,TABLE,NA
CWDB01,BPORTAL,TRANSACTION,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT38749,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT38748,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT1049,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT1047,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT1046,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT1044,TABLE,NA
CWDB01,BPORTAL,TMPMERCHANT1042,TABLE,NA
CWDB01,BPORTAL,TERMS_AND_CONDITION,TABLE,NA
CWDB01,BPORTAL,TERMINAL_TERMINATION_DETAILS,TABLE,NA
CWDB01,BPORTAL,TERMINAL_INFO_MERCHANT,TABLE,NA
CWDB01,BPORTAL,TERMINAL_INFO,TABLE,NA
CWDB01,BPORTAL,TERMINAL_ADDITIONAL_INFO,TABLE,NA
CWDB01,BPORTAL,TEMP_TEST,TABLE,NA
CWDB01,BPORTAL,TEMPLATE_MERCHANT,TABLE,NA
CWDB01,BPORTAL,TEMPLATE_CARDTYPE,TABLE,NA
CWDB01,BPORTAL,TB_MERCHANT_DELETE,TABLE,NA
CWDB01,BPORTAL,TAB1,TABLE,NA
CWDB01,BPORTAL,SOFIEFILEINFO,TABLE,NA
CWDB01,BPORTAL,SMSSCHEDULES_EXTERNALADMIN,TABLE,NA
CWDB01,BPORTAL,SETTING,TABLE,NA
CWDB01,BPORTAL,SERVICEOWNERS_DETAILS,TABLE,NA
CWDB01,BPORTAL,SCREENFIELDMASTER,TABLE,NA
CWDB01,BPORTAL,SAMPLE,TABLE,NA
CWDB01,BPORTAL,RUPD$_TRANSACTION2,TABLE,NA
CWDB01,BPORTAL,RUPD$_TRANSACTION1,TABLE,NA
CWDB01,BPORTAL,RUPD$_TRANSACTION,TABLE,NA
CWDB01,BPORTAL,RUPD$_BATCH1,TABLE,NA
CWDB01,BPORTAL,RUPD$_BATCH,TABLE,NA
CWDB01,BPORTAL,REPORT_TEMPLATES,TABLE,NA
CWDB01,BPORTAL,REPORTSFIELDMASTER,TABLE,NA
CWDB01,BPORTAL,REPORT,TABLE,NA
CWDB01,BPORTAL,QRTZ_TRIGGER_LISTENERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_TRIGGERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_SIMPLE_TRIGGERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_SCHEDULER_STATE,TABLE,NA
CWDB01,BPORTAL,QRTZ_PAUSED_TRIGGER_GRPS,TABLE,NA
CWDB01,BPORTAL,QRTZ_LOCKS,TABLE,NA
CWDB01,BPORTAL,QRTZ_JOB_LISTENERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_JOB_DETAILS,TABLE,NA
CWDB01,BPORTAL,QRTZ_FIRED_TRIGGERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_CRON_TRIGGERS,TABLE,NA
CWDB01,BPORTAL,QRTZ_CALENDARS,TABLE,NA
CWDB01,BPORTAL,QRTZ_BLOB_TRIGGERS,TABLE,NA
CWDB01,BPORTAL,POINTOFSALE,TABLE,NA
CWDB01,BPORTAL,OREDERED_MERCHANTS,TABLE,NA
CWDB01,BPORTAL,ORDER_BAX_TERMINATION,TABLE,NA
CWDB01,BPORTAL,ORDERED_TERMINALS,TABLE,NA
CWDB01,BPORTAL,ORDERBAX_DROPDOWNMENUS,TABLE,NA
CWDB01,BPORTAL,NOTEREQUESTTRANSACTION,TABLE,NA
CWDB01,BPORTAL,NOTEREQUESTBATCH,TABLE,NA
